Time,HOT WATER LOOP:SPACE1-1 ZONE COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:SPACE2-1 ZONE COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:SPACE3-1 ZONE COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:SPACE4-1 ZONE COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:SPACE5-1 ZONE COIL:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:OA HEATING COIL 1:Design Water Volume Flow Rate [m3/s],HOT WATER LOOP:MAIN HEATING COIL 1:Design Water Volume Flow Rate [m3/s]
00:15:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
00:30:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
00:45:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
01:00:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
01:15:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
01:30:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
01:45:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
02:00:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
02:15:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
02:30:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
02:45:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
03:00:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
03:15:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
03:30:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
03:45:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
04:00:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
04:15:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
04:30:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
04:45:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
05:00:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
05:15:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
05:30:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
05:45:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
06:00:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
06:15:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
06:30:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
06:45:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
07:00:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
07:15:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
07:30:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
07:45:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
08:00:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
08:15:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
08:30:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
08:45:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
09:00:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
09:15:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
09:30:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
09:45:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
10:00:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
10:15:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
10:30:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
10:45:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
11:00:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
11:15:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
11:30:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
11:45:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
12:00:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
12:15:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
12:30:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
12:45:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
13:00:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
13:15:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
13:30:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
13:45:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
14:00:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
14:15:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
14:30:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
14:45:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
15:00:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
15:15:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
15:30:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
15:45:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
16:00:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
16:15:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
16:30:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
16:45:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
17:00:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
17:15:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
17:30:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
17:45:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
18:00:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
18:15:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
18:30:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
18:45:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
19:00:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
19:15:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
19:30:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
19:45:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
20:00:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
20:15:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
20:30:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
20:45:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
21:00:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
21:15:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
21:30:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
21:45:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
22:00:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
22:15:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
22:30:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
22:45:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
23:00:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
23:15:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
23:30:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
23:45:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05
24:00:00,7.090989E-05,3.230317E-05,6.957721E-05,3.277546E-05,3.973472E-05,1.539091E-04,6.747290E-05

Time,CHILLED WATER LOOP:OA COOLING COIL 1:Design Water Volume Flow Rate [m3/s],CHILLED WATER LOOP:MAIN COOLING COIL 1:Design Water Volume Flow Rate [m3/s]
00:15:00,2.530519E-04,2.587570E-04
00:30:00,2.530519E-04,2.587570E-04
00:45:00,2.530519E-04,2.587570E-04
01:00:00,2.530519E-04,2.587570E-04
01:15:00,2.530519E-04,2.587570E-04
01:30:00,2.530519E-04,2.587570E-04
01:45:00,2.530519E-04,2.587570E-04
02:00:00,2.530519E-04,2.587570E-04
02:15:00,2.530519E-04,2.587570E-04
02:30:00,2.530519E-04,2.587570E-04
02:45:00,2.530519E-04,2.587570E-04
03:00:00,2.530519E-04,2.587570E-04
03:15:00,2.530519E-04,2.587570E-04
03:30:00,2.530519E-04,2.587570E-04
03:45:00,2.530519E-04,2.587570E-04
04:00:00,2.530519E-04,2.587570E-04
04:15:00,2.530519E-04,2.587570E-04
04:30:00,2.530519E-04,2.587570E-04
04:45:00,2.530519E-04,2.587570E-04
05:00:00,2.530519E-04,2.587570E-04
05:15:00,2.530519E-04,2.587570E-04
05:30:00,2.530519E-04,2.587570E-04
05:45:00,2.530519E-04,2.587570E-04
06:00:00,2.530519E-04,2.587570E-04
06:15:00,2.805189E-04,2.868432E-04
06:30:00,3.327045E-04,3.402053E-04
06:45:00,3.858710E-04,3.945705E-04
07:00:00,4.368724E-04,4.467217E-04
07:15:00,4.819056E-04,4.927702E-04
07:30:00,5.194000E-04,5.311098E-04
07:45:00,5.528080E-04,5.652711E-04
08:00:00,5.814270E-04,5.945353E-04
08:15:00,6.757016E-04,6.909353E-04
08:30:00,8.021932E-04,8.202787E-04
08:45:00,9.339512E-04,9.550071E-04
09:00:00,1.061988E-03,1.085931E-03
09:15:00,1.123258E-03,1.148581E-03
09:30:00,1.179114E-03,1.205697E-03
09:45:00,1.231103E-03,1.258858E-03
10:00:00,1.280451E-03,1.309319E-03
10:15:00,1.283338E-03,1.312271E-03
10:30:00,1.285016E-03,1.313986E-03
10:45:00,1.286593E-03,1.315599E-03
11:00:00,1.288294E-03,1.317339E-03
11:15:00,1.274411E-03,1.303143E-03
11:30:00,1.259533E-03,1.287929E-03
11:45:00,1.243319E-03,1.271349E-03
12:00:00,1.226049E-03,1.253690E-03
12:15:00,1.193449E-03,1.220355E-03
12:30:00,1.160430E-03,1.186592E-03
12:45:00,1.127693E-03,1.153116E-03
13:00:00,1.095957E-03,1.120665E-03
13:15:00,1.125271E-03,1.150640E-03
13:30:00,1.158396E-03,1.184512E-03
13:45:00,1.195093E-03,1.222036E-03
14:00:00,1.235096E-03,1.262941E-03
14:15:00,1.253847E-03,1.282115E-03
14:30:00,1.274239E-03,1.302967E-03
14:45:00,1.295928E-03,1.325144E-03
15:00:00,1.318413E-03,1.348137E-03
15:15:00,1.326167E-03,1.356066E-03
15:30:00,1.333040E-03,1.363093E-03
